X,Y,ELEVATION
361418.34,2420988.911,65.206
361418.34,2420983.911,62.461
361418.34,2420978.911,58.185
361418.34,2420973.911,57.71
361418.34,2420968.911,55.267
361418.34,2420963.911,52.262
361418.34,2420958.911,47.662
361418.34,2420953.911,46.879
361418.34,2420948.911,45.79
361418.34,2420943.911,44.764
361418.34,2420938.911,42.381
361418.34,2420933.911,42.165
361418.34,2420928.911,42.331
361418.34,2420923.911,38.632
361418.34,2420918.911,37.232
361423.34,2421288.911,41.515
361423.34,2421283.911,41.911
361423.34,2421278.911,42.749
361423.34,2421273.911,43.147
361423.34,2421268.911,45.097
361423.34,2421263.911,46.966
361423.34,2421258.911,49.798
361423.34,2421253.911,52.957
361423.34,2421248.911,53.995
361423.34,2421243.911,53.948
361423.34,2421238.911,53.165
361423.34,2421233.911,52.675
361423.34,2421228.911,52.533
361423.34,2421223.911,52.596
361423.34,2421218.911,52.375
361423.34,2421213.911,53.064
361423.34,2421208.911,55.893
361423.34,2421203.911,55.245
361423.34,2421198.911,56.146
361423.34,2421193.911,55.936
361423.34,2421188.911,55.77
361423.34,2421183.911,55.389
361423.34,2421178.911,55.735
361423.34,2421173.911,57.006
361423.34,2421168.911,59.032
361423.34,2421163.911,62.357
361423.34,2421158.911,65.381
361423.34,2421153.911,67.37
361423.34,2421148.911,69.338
361423.34,2421143.911,71.955
361423.34,2421138.911,74.018
361423.34,2421133.911,75.107
361423.34,2421128.911,76.672
361423.34,2421123.911,78.567
361423.34,2421118.911,80.575
361423.34,2421113.911,82.529
361423.34,2421108.911,84.298
361423.34,2421103.911,85.967
361423.34,2421098.911,85.987
361423.34,2421093.911,85.71
361423.34,2421088.911,86.498
361423.34,2421083.911,87.727
361423.34,2421078.911,89.397
361423.34,2421073.911,90.846
361423.34,2421068.911,91.399
361423.34,2421063.911,92.873
361423.34,2421058.911,93.316
361423.34,2421053.911,93.274
361423.34,2421048.911,93.294
361423.34,2421043.911,93.079
361423.34,2421038.911,91.903
361423.34,2421033.911,90.288
361423.34,2421028.911,88.284
361423.34,2421023.911,86.08
361423.34,2421018.911,83.529
361423.34,2421013.911,81.01
361423.34,2421008.911,77.718
361423.34,2421003.911,74.842
361423.34,2420998.911,72.054
361423.34,2420993.911,69.205
361423.34,2420988.911,66.074
361423.34,2420983.911,63.052
361423.34,2420978.911,58.795
